$ cat cln.log
2022-11-18T15:28:06.115Z INFO    plugin-pay: cmd 43257 partid 16: No path found
2022-11-18T15:28:06.163Z INFO    plugin-pay: cmd 43257 partid 34: No path found
2022-11-18T15:28:06.248Z INFO    plugin-pay: cmd 43257 partid 21: No path found
2022-11-18T15:28:06.285Z INFO    plugin-pay: cmd 43257 partid 27: No path found
2022-11-18T15:28:06.285Z INFO    plugin-pay: cmd 43257 partid 30: No path found
2022-11-18T15:28:06.285Z INFO    plugin-pay: cmd 43257 partid 37: No path found
2022-11-18T15:28:06.285Z INFO    plugin-pay: cmd 43257 partid 32: No path found
2022-11-18T15:28:06.285Z INFO    plugin-pay: cmd 43257 partid 33: No path found
2022-11-18T15:28:06.294Z INFO    plugin-pay: cmd 43257 partid 17: No path found
2022-11-18T15:28:06.415Z INFO    plugin-pay: cmd 43257 partid 39: No path found
2022-11-18T15:28:06.461Z INFO    plugin-pay: cmd 43257 partid 40: No path found
2022-11-18T15:28:06.495Z INFO    plugin-pay: cmd 43257 partid 41: No path found
2022-11-18T15:28:06.495Z INFO    plugin-pay: cmd 43257 partid 42: No path found
2022-11-18T15:28:06.495Z INFO    plugin-pay: cmd 43257 partid 22: No path found
2022-11-18T15:28:06.495Z INFO    plugin-pay: cmd 43257 partid 23: No path found
2022-11-18T15:28:06.495Z INFO    plugin-pay: cmd 43257 partid 26: No path found
2022-11-18T15:28:06.496Z INFO    plugin-pay: cmd 43257 partid 44: No path found
2022-11-18T15:28:06.496Z INFO    plugin-pay: cmd 43257 partid 45: No path found
2022-11-18T15:28:06.496Z INFO    plugin-pay: cmd 43257 partid 50: No path found
2022-11-18T15:28:06.496Z INFO    plugin-pay: cmd 43257 partid 51: No path found
2022-11-18T15:28:06.496Z INFO    plugin-pay: cmd 43257 partid 29: No path found
2022-11-18T15:28:06.496Z INFO    plugin-pay: cmd 43257 partid 53: No path found
2022-11-18T15:28:06.496Z INFO    plugin-pay: cmd 43257 partid 54: No path found
2022-11-18T15:28:06.496Z INFO    plugin-pay: cmd 43257 partid 56: No path found
2022-11-18T15:28:06.497Z INFO    plugin-pay: cmd 43257 partid 59: No path found
2022-11-18T15:28:06.497Z INFO    plugin-pay: cmd 43257 partid 60: No path found
2022-11-18T15:28:06.497Z INFO    plugin-pay: cmd 43257 partid 35: No path found
2022-11-18T15:28:06.497Z INFO    plugin-pay: cmd 43257 partid 36: No path found
2022-11-18T15:28:06.500Z INFO    plugin-pay: cmd 43257 partid 64: No path found
2022-11-18T15:28:06.500Z INFO    plugin-pay: cmd 43257 partid 65: No path found
2022-11-18T15:28:06.500Z INFO    plugin-pay: cmd 43257 partid 66: No path found
2022-11-18T15:28:06.500Z INFO    plugin-pay: cmd 43257 partid 67: No path found
2022-11-18T15:28:06.500Z INFO    plugin-pay: cmd 43257 partid 68: No path found
2022-11-18T15:28:06.500Z INFO    plugin-pay: cmd 43257 partid 43: No path found
2022-11-18T15:28:06.500Z INFO    plugin-pay: cmd 43257 partid 69: No path found
2022-11-18T15:28:06.557Z INFO    plugin-pay: cmd 43257 partid 72: No path found
2022-11-18T15:28:06.648Z INFO    plugin-pay: cmd 43257 partid 73: No path found
2022-11-18T15:28:06.680Z INFO    plugin-pay: cmd 43257 partid 75: No path found
2022-11-18T15:28:06.714Z INFO    plugin-pay: cmd 43257 partid 84: No path found
2022-11-18T15:28:07.617Z INFO    plugin-pay: cmd 43257 partid 87: No path found
2022-11-18T15:28:07.617Z INFO    plugin-pay: cmd 43257 partid 90: No path found
2022-11-18T15:28:07.617Z INFO    plugin-pay: cmd 43257 partid 94: No path found
2022-11-18T15:28:07.618Z INFO    plugin-pay: cmd 43257 partid 98: No path found
2022-11-18T15:28:07.618Z INFO    plugin-pay: cmd 43257 partid 100: No path found
2022-11-18T15:28:07.618Z INFO    plugin-pay: cmd 43257 partid 46: No path found
2022-11-18T15:28:07.618Z INFO    plugin-pay: cmd 43257 partid 47: No path found
2022-11-18T15:28:07.619Z INFO    plugin-pay: cmd 43257 partid 48: No path found
2022-11-18T15:28:07.619Z INFO    plugin-pay: cmd 43257 partid 52: No path found
2022-11-18T15:28:07.619Z INFO    plugin-pay: cmd 43257 partid 58: No path found
2022-11-18T15:28:07.619Z INFO    plugin-pay: cmd 43257 partid 38: No path found
2022-11-18T15:28:07.619Z INFO    plugin-pay: cmd 43257 partid 102: No path found
2022-11-18T15:28:07.619Z INFO    plugin-pay: cmd 43257 partid 103: No path found
2022-11-18T15:28:07.619Z INFO    plugin-pay: cmd 43257 partid 104: No path found
2022-11-18T15:28:07.619Z INFO    plugin-pay: cmd 43257 partid 106: No path found
2022-11-18T15:28:07.620Z INFO    plugin-pay: cmd 43257 partid 107: No path found
2022-11-18T15:28:07.620Z INFO    plugin-pay: cmd 43257 partid 108: No path found
2022-11-18T15:28:07.620Z INFO    plugin-pay: cmd 43257 partid 110: No path found
2022-11-18T15:28:07.620Z INFO    plugin-pay: cmd 43257 partid 111: No path found
2022-11-18T15:28:07.659Z INFO    plugin-pay: cmd 43257 partid 71: No path found
2022-11-18T15:28:07.825Z INFO    plugin-pay: cmd 43257 partid 77: No path found
2022-11-18T15:28:07.825Z INFO    plugin-pay: cmd 43257 partid 115: No path found
2022-11-18T15:28:07.825Z INFO    plugin-pay: cmd 43257 partid 116: No path found
2022-11-18T15:28:07.826Z INFO    plugin-pay: cmd 43257 partid 117: No path found
2022-11-18T15:28:07.826Z INFO    plugin-pay: cmd 43257 partid 120: No path found
2022-11-18T15:28:07.826Z INFO    plugin-pay: cmd 43257 partid 121: No path found
2022-11-18T15:28:07.826Z INFO    plugin-pay: cmd 43257 partid 126: No path found
2022-11-18T15:28:07.826Z INFO    plugin-pay: cmd 43257 partid 127: No path found
2022-11-18T15:28:07.826Z INFO    plugin-pay: cmd 43257 partid 134: No path found
2022-11-18T15:28:07.826Z INFO    plugin-pay: cmd 43257 partid 135: No path found
2022-11-18T15:28:07.826Z INFO    plugin-pay: cmd 43257 partid 137: No path found
2022-11-18T15:28:07.826Z INFO    plugin-pay: cmd 43257 partid 139: No path found
2022-11-18T15:28:07.826Z INFO    plugin-pay: cmd 43257 partid 142: No path found
2022-11-18T15:28:07.827Z INFO    plugin-pay: cmd 43257 partid 143: No path found
2022-11-18T15:28:07.869Z INFO    plugin-pay: cmd 43257 partid 79: No path found
2022-11-18T15:28:08.018Z INFO    plugin-pay: cmd 43257 partid 82: No path found
2022-11-18T15:28:08.074Z INFO    plugin-pay: cmd 43257 partid 83: No path found
2022-11-18T15:28:08.124Z INFO    plugin-pay: cmd 43257 partid 85: No path found
2022-11-18T15:28:08.174Z INFO    plugin-pay: cmd 43257 partid 86: No path found
2022-11-18T15:28:08.390Z INFO    plugin-pay: cmd 43257 partid 89: No path found
2022-11-18T15:28:08.474Z INFO    plugin-pay: cmd 43257 partid 91: No path found
